"","RegrMeth","Split.No","CVtype","NoModelFeats","ModelFeats","adjR2.tr","RMSE.tr","R2.tr","RMSEsd.tr","R2sd.tr","adjR2.ts","RMSE.ts","R2.ts","corP.ts","adjR2.both","RMSE.both","R2.both"
"1","nnet",2,"LOOCV",3,"V2+V5+V7",0.999299394154497,0,0.0101882839390116,0,0,1.00034463911171,0.00210277915027414,1,1,0.99937679855611,0.00313701594197649,0.999563758989277
"2","nnet",2,"repeatedcv",3,"V2+V5+V7",0.999236270670763,0,0.0050863236366826,NA,0.00499220915116175,1.00079376924419,0.00319123300388023,1,1,0.99925888825982,0.00342093125428837,0.999481221781874
"3","svmRadial.RMSE",2,"LOOCV",3,"V2+V5+V7",0.987562999541162,1,0.186526548519418,0,0,1.0305113058602,0.0197852607782514,1,1,0.985333549115755,0.0152182605873075,0.989733484381028
"4","svmRadial.RMSE",2,"repeatedcv",3,"V2+V5+V7",0.987562999541162,1,0.166861116753977,NA,0.0838308148833387,1.0305113058602,0.0197852607782514,1,1,0.985333549115755,0.0152182605873075,0.989733484381028
"5","rbfDDA",2,"LOOCV",3,"V2+V5+V7",-57.3161764882111,0.644418412400057,0.609026243659404,NA,NA,4.17423279581383,0.20180446376604,1,-1,-47.1044518647239,0.871555675817197,-32.6731163053067
"6","rbfDDA",2,"repeatedcv",3,"V2+V5+V7",-57.3161764882111,0.561698218211721,NA,0.317633775600863,NA,4.17423279581383,0.20180446376604,1,-1,-47.1044518647239,0.871555675817197,-32.6731163053067
"7","lasso.RMSE",2,"LOOCV",3,"V2+V5+V7",0.999329793298335,0.0120728737073157,0.994935061276488,NA,NA,1.00024578921189,0.0017757948395285,1,1,0.999416232717826,0.00303614407025864,0.999591362902478
"8","lasso.RMSE",2,"repeatedcv",1,"V2",0.272017583826206,0.00748089830872591,NA,0.00952886779193321,NA,-Inf,0.0860273791446904,1,1,0.286213245299724,0.120381285704199,0.357591920769752
"9","pls",2,"LOOCV",3,"V2+V5+V7",0.99921229041039,0.00447338720546468,0.999208180324713,0,0,1.00050592704743,0.00254774131633462,1,1,0.999281821590741,0.00336758582388012,0.999497275113518
"10","pls",2,"repeatedcv",3,"V2+V5+V7",0.99921229041039,0.00413681717436974,NA,0.00171186969217844,NA,1.00050592704743,0.00254774131633462,1,1,0.999281821590741,0.00336758582388012,0.999497275113518
"11","glmStepAIC",2,"LOOCV",3,"V2+V5+V7",0.999211610800603,0.00909559444173896,0.996974678597317,0,0,1.00051050495645,0.00255924204816293,1,1,0.999280590178572,0.00337047167371395,0.999496413125001
"12","glmStepAIC",2,"repeatedcv",3,"V2+V5+V7",0.999211610800603,0.00651954634516343,NA,0.0063778777009419,NA,1.00051050495645,0.00255924204816293,1,1,0.999280590178572,0.00337047167371395,0.999496413125001
"13","nnet",1,"LOOCV",3,"V2+V5+V7",0.999150506127237,0,0.00555487612172337,0,0,Inf,0.00953180392045629,NA,NA,0.998433173788539,0.00497408170101403,0.998903221651977
"14","nnet",1,"repeatedcv",3,"V2+V5+V7",0.999088742176707,0,0.00417331944567273,NA,0.00330306373748064,Inf,0.00662276338870177,NA,NA,0.998936414949419,0.00409815719189264,0.999255490464594
"15","svmRadial.RMSE",1,"LOOCV",3,"V2+V5+V7",0.987648108919717,1,0.155673463186017,0,0,Inf,0.0589135309730747,NA,NA,0.952465414837277,0.0273972740788883,0.966725790386094
"16","svmRadial.RMSE",1,"repeatedcv",3,"V2+V5+V7",0.987648108919717,1,0.133488893403182,NA,0.0805420417154703,Inf,0.0589135309730747,NA,NA,0.952465414837277,0.0273972740788883,0.966725790386094
"17","rbfDDA",1,"LOOCV",3,"V2+V5+V7",-73.9278637245934,0.528561412033463,0.636304930860769,NA,NA,Inf,0.670910543659569,NA,NA,-50.1103746987998,0.898373706853044,-34.7772622891598
"18","rbfDDA",1,"repeatedcv",3,"V2+V5+V7",-73.9278637245934,0.469265922711419,NA,0.244604689255968,NA,Inf,0.670910543659569,NA,NA,-50.1103746987998,0.898373706853044,-34.7772622891598
"19","lasso.RMSE",1,"LOOCV",3,"V2+V5+V7",0.999240073486393,0.00570414758013752,0.99833189700928,NA,NA,Inf,0.00531792285037476,NA,NA,0.999208573232601,0.00353515017582952,0.99944600126282
"20","lasso.RMSE",1,"repeatedcv",1,"V2",0.270204128905789,0.00417731805557478,NA,0.00390599972538673,NA,-Inf,0.173006361179377,NA,NA,0.244855359013551,0.123819717085469,0.320369823112196
"21","pls",1,"LOOCV",3,"V2+V5+V7",0.999119269202155,0.00392604451634612,0.999192555023461,0,0,Inf,0.00437289315517138,NA,NA,0.999239973262242,0.00346431150259951,0.999467981283569
"22","pls",1,"repeatedcv",3,"V2+V5+V7",0.999119269202155,0.00308404963345751,NA,0.00244310933365978,NA,Inf,0.00437289315517138,NA,NA,0.999239973262242,0.00346431150259951,0.999467981283569
"23","glmStepAIC",1,"LOOCV",3,"V2+V5+V7",0.999217652273435,0.00476486486378096,0.998806307158697,0,0,Inf,0.00597111222341917,NA,NA,0.999109925960082,0.00374900109743482,0.999376948172057
"24","glmStepAIC",1,"repeatedcv",3,"V2+V5+V7",0.999217652273435,0.00366162831301524,NA,0.00306608371893981,NA,Inf,0.00597111222341917,NA,NA,0.999109925960082,0.00374900109743482,0.999376948172057
