"","RegrMeth","CVtype","adjR2.tr.Avg","RMSE.tr.Avg","R2.tr.Avg","RMSEsd.tr.Avg","R2sd.tr.Avg","adjR2.ts.Avg","RMSE.ts.Avg","R2.ts.Avg","corP.ts.Avg","adjR2.both.Avg","RMSE.both.Avg","R2.both.Avg"
"1","nnet","LOOCV",0.999224950140867,0,0.00787158003036747,0,0,Inf,0.00581729153536521,NA,NA,0.998904986172325,0.00405554882149526,0.999233490320627
"2","nnet","repeatedcv",0.999162506423735,0,0.00462982154117766,NA,0.0041476364443212,Inf,0.004906998196291,NA,NA,0.99909765160462,0.0037595442230905,0.999368356123234
"3","svmRadial.RMSE","LOOCV",0.98760555423044,1,0.171100005852717,0,0,Inf,0.0393493958756631,NA,NA,0.968899481976516,0.0213077673330979,0.978229637383561
"4","svmRadial.RMSE","repeatedcv",0.98760555423044,1,0.150175005078579,NA,0.0821864282994045,Inf,0.0393493958756631,NA,NA,0.968899481976516,0.0213077673330979,0.978229637383561
"5","rbfDDA","LOOCV",-65.6220201064022,0.58648991221676,0.622665587260087,NA,NA,Inf,0.436357503712804,NA,NA,-48.6074132817618,0.884964691335121,-33.7251892972333
"6","rbfDDA","repeatedcv",-65.6220201064022,0.51548207046157,NA,0.281119232428415,NA,Inf,0.436357503712804,NA,NA,-48.6074132817618,0.884964691335121,-33.7251892972333
"7","lasso.RMSE","LOOCV",0.999284933392364,0.0088885106437266,0.996633479142884,NA,NA,Inf,0.00354685884495163,NA,NA,0.999312402975213,0.00328564712304408,0.999518682082649
"8","lasso.RMSE","repeatedcv",0.271110856365998,0.00582910818215035,NA,0.00671743375865997,NA,-Inf,0.129516870162034,NA,NA,0.265534302156637,0.122100501394834,0.338980871940974
"9","pls","LOOCV",0.999165779806273,0.0041997158609054,0.999200367674087,0,0,Inf,0.003460317235753,NA,NA,0.999260897426491,0.00341594866323981,0.999482628198544
"10","pls","repeatedcv",0.999165779806273,0.00361043340391362,NA,0.00207748951291911,NA,Inf,0.003460317235753,NA,NA,0.999260897426491,0.00341594866323981,0.999482628198544
"11","glmStepAIC","LOOCV",0.999214631537019,0.00693022965275996,0.997890492878007,0,0,Inf,0.00426517713579105,NA,NA,0.999195258069327,0.00355973638557439,0.999436680648529
"12","glmStepAIC","repeatedcv",0.999214631537019,0.00509058732908933,NA,0.00472198070994085,NA,Inf,0.00426517713579105,NA,NA,0.999195258069327,0.00355973638557439,0.999436680648529
"13","lm","LOOCV",0.999284933392364,0.00888851064372669,0.996633479142884,0,0,Inf,0.00354685884495164,NA,NA,0.999312402975213,0.00328564712304407,0.999518682082649
"14","lm","repeatedcv",0.999284933392364,0.00582910818215038,NA,0.00671743375866005,NA,Inf,0.00354685884495164,NA,NA,0.999312402975213,0.00328564712304407,0.999518682082649
